ts,heart_rate,pid
2020-05-30 02:24:00,46.0,0.0
2020-05-30 02:25:00,46.0,0.0
2020-05-30 02:26:00,47.0,0.0
2020-05-30 02:27:00,46.0,0.0
2020-05-30 02:28:00,46.0,0.0
2020-05-30 02:29:00,45.0,0.0
2020-05-30 02:30:00,47.0,0.0
2020-05-30 02:31:00,47.0,0.0
2020-05-30 02:32:00,45.0,0.0
2020-05-30 02:33:00,45.0,0.0
2020-05-30 02:34:00,46.0,0.0
2020-05-30 02:35:00,46.0,0.0
2020-05-30 02:36:00,46.0,0.0
2020-05-30 02:37:00,45.0,0.0
2020-05-30 02:38:00,46.0,0.0
2020-05-30 02:39:00,45.0,0.0
2020-05-30 02:40:00,45.0,0.0
2020-05-30 02:41:00,46.0,0.0
2020-05-30 02:42:00,46.0,0.0
2020-05-30 02:43:00,46.0,0.0
2020-05-30 02:44:00,45.0,0.0
2020-05-30 02:45:00,45.0,0.0
2020-05-30 02:46:00,46.0,0.0
2020-05-30 02:47:00,46.0,0.0
2020-05-30 02:48:00,46.0,0.0
2020-05-30 02:49:00,45.0,0.0
2020-05-30 02:50:00,48.0,0.0
2020-05-30 02:51:00,63.0,0.0
2020-05-30 02:52:00,45.0,0.0
2020-05-30 02:53:00,45.0,0.0
2020-05-30 02:54:00,43.0,0.0
2020-05-30 02:55:00,45.0,0.0
2020-05-30 02:56:00,46.0,0.0
2020-05-30 02:57:00,46.0,0.0
2020-05-30 02:58:00,46.0,0.0
2020-05-30 02:59:00,46.0,0.0
2020-05-30 03:00:00,48.0,0.0
2020-05-30 03:01:00,48.0,0.0
2020-05-30 03:02:00,53.0,0.0
2020-05-30 03:03:00,54.0,0.0
2020-05-30 03:04:00,61.0,0.0
2020-05-30 03:05:00,54.0,0.0
2020-05-30 03:06:00,47.0,0.0
2020-05-30 03:07:00,47.0,0.0
2020-05-30 03:08:00,45.0,0.0
2020-05-30 03:09:00,44.0,0.0
2020-05-30 03:10:00,45.0,0.0
2020-05-30 03:11:00,44.0,0.0
2020-05-30 03:12:00,45.0,0.0
2020-05-30 03:13:00,45.0,0.0
2020-05-30 03:14:00,43.0,0.0
2020-05-30 03:15:00,45.0,0.0
2020-05-30 03:16:00,44.0,0.0
2020-05-30 03:17:00,45.0,0.0
2020-05-30 03:18:00,43.0,0.0
2020-05-30 03:19:00,44.0,0.0
2020-05-30 03:20:00,44.0,0.0
2020-05-30 03:21:00,49.0,0.0
2020-05-30 03:22:00,43.0,0.0
2020-05-30 03:23:00,44.0,0.0
2020-05-30 03:24:00,45.0,0.0
2020-05-30 03:25:00,44.0,0.0
2020-05-30 03:26:00,45.0,0.0
2020-05-30 03:27:00,44.0,0.0
2020-05-30 03:28:00,52.0,0.0
2020-05-30 03:29:00,43.0,0.0
2020-05-30 03:30:00,42.0,0.0
2020-05-30 03:31:00,42.0,0.0
2020-05-30 03:32:00,43.0,0.0
2020-05-30 03:33:00,42.0,0.0
2020-05-30 03:34:00,43.0,0.0
2020-05-30 03:35:00,43.0,0.0
2020-05-30 03:36:00,43.0,0.0
2020-05-30 03:37:00,43.0,0.0
2020-05-30 03:38:00,43.0,0.0
2020-05-30 03:39:00,46.0,0.0
2020-05-30 03:40:00,44.0,0.0
2020-05-30 03:41:00,43.0,0.0
2020-05-30 03:42:00,44.0,0.0
2020-05-30 03:43:00,43.0,0.0
2020-05-30 03:44:00,44.0,0.0
2020-05-30 03:45:00,43.0,0.0
2020-05-30 03:46:00,44.0,0.0
2020-05-30 03:47:00,44.0,0.0
2020-05-30 03:48:00,43.0,0.0
2020-05-30 03:49:00,45.0,0.0
2020-05-30 03:50:00,44.0,0.0
2020-05-30 03:51:00,44.0,0.0
2020-05-30 03:52:00,44.0,0.0
2020-05-30 03:53:00,43.0,0.0
2020-05-30 03:54:00,43.0,0.0
2020-05-30 03:55:00,44.0,0.0
2020-05-30 03:56:00,43.0,0.0
2020-05-30 03:57:00,44.0,0.0
2020-05-30 03:58:00,44.0,0.0
2020-05-30 03:59:00,44.0,0.0
2020-05-30 04:00:00,45.0,0.0
2020-05-30 04:01:00,44.0,0.0
2020-05-30 04:02:00,44.0,0.0
2020-05-30 04:03:00,62.0,0.0
2020-05-30 04:04:00,48.0,0.0
2020-05-30 04:05:00,46.0,0.0
2020-05-30 04:06:00,57.0,0.0
2020-05-30 04:07:00,52.0,0.0
2020-05-30 04:08:00,44.0,0.0
2020-05-30 04:09:00,43.0,0.0
2020-05-30 04:10:00,42.0,0.0
2020-05-30 04:11:00,44.0,0.0
2020-05-30 04:12:00,43.0,0.0
2020-05-30 04:13:00,43.0,0.0
2020-05-30 04:14:00,42.0,0.0
2020-05-30 04:15:00,45.0,0.0
2020-05-30 04:16:00,43.0,0.0
2020-05-30 04:17:00,43.0,0.0
2020-05-30 04:18:00,43.0,0.0
2020-05-30 04:19:00,43.0,0.0
2020-05-30 04:20:00,43.0,0.0
2020-05-30 04:21:00,54.0,0.0
2020-05-30 04:22:00,47.0,0.0
2020-05-30 04:23:00,50.0,0.0
2020-05-30 04:24:00,57.0,0.0
2020-05-30 04:25:00,51.0,0.0
2020-05-30 04:26:00,71.0,0.0
2020-05-30 04:27:00,78.0,0.0
2020-05-30 04:28:00,59.0,0.0
2020-05-30 04:29:00,59.0,0.0
2020-05-30 04:30:00,43.0,0.0
2020-05-30 04:31:00,41.0,0.0
2020-05-30 04:32:00,42.0,0.0
2020-05-30 04:33:00,43.0,0.0
2020-05-30 04:34:00,45.0,0.0
2020-05-30 04:35:00,42.0,0.0
2020-05-30 04:36:00,41.0,0.0
2020-05-30 04:37:00,41.0,0.0
2020-05-30 04:38:00,42.0,0.0
2020-05-30 04:39:00,42.0,0.0
2020-05-30 04:40:00,40.0,0.0
2020-05-30 04:41:00,42.0,0.0
2020-05-30 04:42:00,42.0,0.0
2020-05-30 04:43:00,42.0,0.0
2020-05-30 04:44:00,41.0,0.0
2020-05-30 04:45:00,41.0,0.0
2020-05-30 04:46:00,41.0,0.0
2020-05-30 04:47:00,46.0,0.0
2020-05-30 04:48:00,49.0,0.0
2020-05-30 04:49:00,44.0,0.0
2020-05-30 04:50:00,42.0,0.0
2020-05-30 04:51:00,42.0,0.0
2020-05-30 04:52:00,41.0,0.0
2020-05-30 04:53:00,41.0,0.0
2020-05-30 04:54:00,41.0,0.0
2020-05-30 04:55:00,41.0,0.0
2020-05-30 04:56:00,44.0,0.0
2020-05-30 04:57:00,41.0,0.0
2020-05-30 04:58:00,41.0,0.0
2020-05-30 04:59:00,40.0,0.0
2020-05-30 05:00:00,42.0,0.0
2020-05-30 05:01:00,46.0,0.0
2020-05-30 05:02:00,43.0,0.0
2020-05-30 05:03:00,42.0,0.0
2020-05-30 05:04:00,42.0,0.0
2020-05-30 05:05:00,41.0,0.0
2020-05-30 05:06:00,42.0,0.0
2020-05-30 05:07:00,42.0,0.0
2020-05-30 05:08:00,42.0,0.0
2020-05-30 05:09:00,43.0,0.0
2020-05-30 05:10:00,42.0,0.0
2020-05-30 05:11:00,43.0,0.0
2020-05-30 05:12:00,43.0,0.0
2020-05-30 05:13:00,42.0,0.0
2020-05-30 05:14:00,43.0,0.0
2020-05-30 05:15:00,43.0,0.0
2020-05-30 05:16:00,44.0,0.0
2020-05-30 05:17:00,44.0,0.0
2020-05-30 05:18:00,44.0,0.0
2020-05-30 05:19:00,44.0,0.0
2020-05-30 05:20:00,44.0,0.0
2020-05-30 05:21:00,44.0,0.0
2020-05-30 05:22:00,44.0,0.0
2020-05-30 05:23:00,51.0,0.0
2020-05-30 05:24:00,43.0,0.0
2020-05-30 05:25:00,44.0,0.0
2020-05-30 05:26:00,44.0,0.0
2020-05-30 05:27:00,44.0,0.0
2020-05-30 05:28:00,43.0,0.0
2020-05-30 05:29:00,43.0,0.0
2020-05-30 05:30:00,44.0,0.0
2020-05-30 05:31:00,42.0,0.0
2020-05-30 05:32:00,43.0,0.0
2020-05-30 05:33:00,44.0,0.0
2020-05-30 05:34:00,46.0,0.0
2020-05-30 05:35:00,42.0,0.0
2020-05-30 05:36:00,43.0,0.0
2020-05-30 05:37:00,45.0,0.0
2020-05-30 05:38:00,60.0,0.0
2020-05-30 05:39:00,47.0,0.0
2020-05-30 05:40:00,46.0,0.0
2020-05-30 05:41:00,45.0,0.0
2020-05-30 05:42:00,45.0,0.0
2020-05-30 05:43:00,44.0,0.0
2020-05-30 05:44:00,45.0,0.0
2020-05-30 05:45:00,44.0,0.0
2020-05-30 05:46:00,44.0,0.0
2020-05-30 05:47:00,43.0,0.0
2020-05-30 05:48:00,46.0,0.0
2020-05-30 05:49:00,45.0,0.0
2020-05-30 05:50:00,44.0,0.0
2020-05-30 05:51:00,45.0,0.0
2020-05-30 05:52:00,56.0,0.0
2020-05-30 05:53:00,42.0,0.0
2020-05-30 05:54:00,45.0,0.0
2020-05-30 05:55:00,44.0,0.0
2020-05-30 05:56:00,44.0,0.0
2020-05-30 05:57:00,46.0,0.0
2020-05-30 05:58:00,45.0,0.0
2020-05-30 05:59:00,52.0,0.0
2020-05-30 06:00:00,49.0,0.0
2020-05-30 06:01:00,44.0,0.0
2020-05-30 06:02:00,44.0,0.0
2020-05-30 06:03:00,44.0,0.0
2020-05-30 06:04:00,45.0,0.0
2020-05-30 06:05:00,44.0,0.0
2020-05-30 06:06:00,45.0,0.0
2020-05-30 06:07:00,46.0,0.0
2020-05-30 06:08:00,45.0,0.0
2020-05-30 06:09:00,44.0,0.0
2020-05-30 06:10:00,46.0,0.0
2020-05-30 06:11:00,45.0,0.0
2020-05-30 06:12:00,46.0,0.0
2020-05-30 06:13:00,45.0,0.0
2020-05-30 06:14:00,54.0,0.0
2020-05-30 06:15:00,48.0,0.0
2020-05-30 06:16:00,42.0,0.0
2020-05-30 06:17:00,43.0,0.0
2020-05-30 06:18:00,47.0,0.0
2020-05-30 06:19:00,49.0,0.0
2020-05-30 06:20:00,49.0,0.0
2020-05-30 06:21:00,47.0,0.0
2020-05-30 06:22:00,48.0,0.0
2020-05-30 06:23:00,54.0,0.0
2020-05-30 06:24:00,51.0,0.0
2020-05-30 06:25:00,50.0,0.0
2020-05-30 06:26:00,47.0,0.0
2020-05-30 06:27:00,48.0,0.0
2020-05-30 06:28:00,57.0,0.0
2020-05-30 06:29:00,45.0,0.0
2020-05-30 06:30:00,44.0,0.0
2020-05-30 06:31:00,46.0,0.0
2020-05-30 06:32:00,54.0,0.0
2020-05-30 06:33:00,44.0,0.0
2020-05-30 06:34:00,44.0,0.0
2020-05-30 06:35:00,44.0,0.0
2020-05-30 06:36:00,46.0,0.0
2020-05-30 06:37:00,44.0,0.0
2020-05-30 06:38:00,44.0,0.0
2020-05-30 06:39:00,43.0,0.0
2020-05-30 06:40:00,58.0,0.0
2020-05-30 06:41:00,67.0,0.0
2020-05-30 06:42:00,72.0,0.0
2020-05-30 06:43:00,76.0,0.0
2020-05-30 06:44:00,65.0,0.0
2020-05-30 06:45:00,78.0,0.0
2020-05-30 06:46:00,84.0,0.0
2020-05-30 06:47:00,71.0,0.0
2020-05-30 06:48:00,66.0,0.0
2020-05-30 06:49:00,70.0,0.0
2020-05-30 06:50:00,63.0,0.0
2020-05-30 06:51:00,62.0,0.0
2020-05-30 06:52:00,70.0,0.0
2020-05-30 06:53:00,71.0,0.0
2020-05-30 06:54:00,71.0,0.0
2020-05-30 06:55:00,67.0,0.0
2020-05-30 06:56:00,62.0,0.0
2020-05-30 06:57:00,56.0,0.0
2020-05-30 06:58:00,54.0,0.0
2020-05-30 06:59:00,47.0,0.0
2020-05-30 07:00:00,48.0,0.0
2020-05-30 07:01:00,51.0,0.0
2020-05-30 07:02:00,51.0,0.0
2020-05-30 07:03:00,54.0,0.0
2020-05-30 07:04:00,58.0,0.0
2020-05-30 07:05:00,56.0,0.0
2020-05-30 07:06:00,48.0,0.0
2020-05-30 07:07:00,49.0,0.0
2020-05-30 07:08:00,49.0,0.0
2020-05-30 07:09:00,52.0,0.0
2020-05-30 07:10:00,48.0,0.0
2020-05-30 07:11:00,51.0,0.0
2020-05-30 07:12:00,52.0,0.0
2020-05-30 07:13:00,51.0,0.0
2020-05-30 07:14:00,59.0,0.0
2020-05-30 07:15:00,50.0,0.0
2020-05-30 07:16:00,48.0,0.0
2020-05-30 07:17:00,48.0,0.0
2020-05-30 07:18:00,49.0,0.0
2020-05-30 07:19:00,49.0,0.0
2020-05-30 07:20:00,49.0,0.0
2020-05-30 07:21:00,49.0,0.0
2020-05-30 07:22:00,50.0,0.0
2020-05-30 07:23:00,49.0,0.0
2020-05-30 07:24:00,49.0,0.0
2020-05-30 07:25:00,50.0,0.0
2020-05-30 07:26:00,51.0,0.0
2020-05-30 07:27:00,51.0,0.0
2020-05-30 07:28:00,49.0,0.0
2020-05-30 07:29:00,47.0,0.0
2020-05-30 07:30:00,49.0,0.0
2020-05-30 07:31:00,57.0,0.0
2020-05-30 07:32:00,47.0,0.0
2020-05-30 07:33:00,47.0,0.0
2020-05-30 07:34:00,47.0,0.0
2020-05-30 07:35:00,48.0,0.0
2020-05-30 07:36:00,49.0,0.0
2020-05-30 07:37:00,49.0,0.0
2020-05-30 07:38:00,49.0,0.0
2020-05-30 07:39:00,49.0,0.0
2020-05-30 07:40:00,50.0,0.0
2020-05-30 07:41:00,49.0,0.0
2020-05-30 07:42:00,47.0,0.0
2020-05-30 07:43:00,46.0,0.0
2020-05-30 07:44:00,47.0,0.0
2020-05-30 07:45:00,47.0,0.0
2020-05-30 07:46:00,47.0,0.0
2020-05-30 07:47:00,48.0,0.0
2020-05-30 07:48:00,47.0,0.0
2020-05-30 07:49:00,48.0,0.0
2020-05-30 07:50:00,47.0,0.0
2020-05-30 07:51:00,51.0,0.0
2020-05-30 07:52:00,56.0,0.0
2020-05-30 07:53:00,49.0,0.0
2020-05-30 07:54:00,46.0,0.0
2020-05-30 07:55:00,55.0,0.0
2020-05-30 07:56:00,49.0,0.0
2020-05-30 07:57:00,50.0,0.0
2020-05-30 07:58:00,47.0,0.0
2020-05-30 07:59:00,46.0,0.0
2020-05-30 08:00:00,48.0,0.0
2020-05-30 08:01:00,53.0,0.0
2020-05-30 08:02:00,57.0,0.0
2020-05-30 08:03:00,61.0,0.0
2020-05-30 08:04:00,61.0,0.0
2020-05-30 08:05:00,53.0,0.0
2020-05-30 08:06:00,51.0,0.0
2020-05-30 08:07:00,52.0,0.0
2020-05-30 08:08:00,51.0,0.0
2020-05-30 08:09:00,51.0,0.0
2020-05-30 08:10:00,54.0,0.0
2020-05-30 08:11:00,52.0,0.0
2020-05-30 08:12:00,54.0,0.0
2020-05-30 08:13:00,58.0,0.0
2020-05-30 08:14:00,60.0,0.0
2020-05-30 08:15:00,57.0,0.0
2020-05-30 08:16:00,55.0,0.0
2020-05-30 08:17:00,55.0,0.0
2020-05-30 08:18:00,52.0,0.0
2020-05-30 08:19:00,54.0,0.0
2020-05-30 08:20:00,55.0,0.0
2020-05-30 08:21:00,56.0,0.0
2020-05-30 08:22:00,58.0,0.0
2020-05-30 08:23:00,60.0,0.0
2020-05-30 08:24:00,75.0,0.0
2020-05-30 08:25:00,65.0,0.0
2020-05-30 08:26:00,58.0,0.0
2020-05-30 08:27:00,55.0,0.0
2020-05-30 08:28:00,54.0,0.0
2020-05-30 08:29:00,54.0,0.0
2020-05-30 08:30:00,53.0,0.0
2020-05-30 08:31:00,53.0,0.0
2020-05-30 08:32:00,53.0,0.0
2020-05-30 08:33:00,54.0,0.0
2020-05-30 08:34:00,61.0,0.0
2020-05-30 08:35:00,57.0,0.0
2020-05-30 08:36:00,59.0,0.0
2020-05-30 08:37:00,63.0,0.0
2020-05-30 08:38:00,49.0,0.0
2020-05-30 08:39:00,48.0,0.0
2020-05-30 08:40:00,47.0,0.0
2020-05-30 08:41:00,48.0,0.0
2020-05-30 08:42:00,47.0,0.0
2020-05-30 08:43:00,59.0,0.0
2020-05-30 08:44:00,75.0,0.0
2020-05-30 08:45:00,88.0,0.0
2020-05-30 08:46:00,89.0,0.0
2020-05-30 08:47:00,83.0,0.0
2020-05-30 08:48:00,77.0,0.0
2020-05-30 08:49:00,75.0,0.0
2020-05-30 08:50:00,72.0,0.0
2020-05-30 08:51:00,61.0,0.0
2020-05-30 08:52:00,57.0,0.0
2020-05-30 08:53:00,56.0,0.0
2020-05-30 08:54:00,57.0,0.0
2020-05-30 08:55:00,53.0,0.0
2020-05-30 08:56:00,52.0,0.0
2020-05-30 08:57:00,53.0,0.0
2020-05-30 08:58:00,48.0,0.0
2020-05-30 08:59:00,43.0,0.0
2020-05-30 09:00:00,43.0,0.0
2020-05-30 09:01:00,45.0,0.0
2020-05-30 09:02:00,63.0,0.0
2020-05-30 09:03:00,54.0,0.0
2020-05-30 09:04:00,55.0,0.0
2020-05-30 09:05:00,56.0,0.0
2020-05-30 09:06:00,49.0,0.0
2020-05-30 09:07:00,46.0,0.0
2020-05-30 09:08:00,45.0,0.0
2020-05-30 09:09:00,45.0,0.0
2020-05-30 09:10:00,42.0,0.0
2020-05-30 09:11:00,43.0,0.0
2020-05-30 09:12:00,43.0,0.0
2020-05-30 09:13:00,43.0,0.0
2020-05-30 09:14:00,51.0,0.0
2020-05-30 09:15:00,62.0,0.0
2020-05-30 09:16:00,69.0,0.0
2020-05-30 09:17:00,65.0,0.0
2020-05-30 09:18:00,65.0,0.0
2020-05-30 09:19:00,62.0,0.0
2020-05-30 09:20:00,51.0,0.0
2020-05-30 09:21:00,44.0,0.0
2020-05-30 09:22:00,45.0,0.0
2020-05-30 09:23:00,46.0,0.0
2020-05-30 09:24:00,59.0,0.0
2020-05-30 09:25:00,64.0,0.0
2020-05-30 09:26:00,59.0,0.0
2020-05-30 09:27:00,54.0,0.0
2020-05-30 09:28:00,50.0,0.0
2020-05-30 09:29:00,50.0,0.0
2020-05-30 09:30:00,49.0,0.0
2020-05-30 09:31:00,49.0,0.0
2020-05-30 09:32:00,49.0,0.0
2020-05-30 09:33:00,62.0,0.0
2020-05-30 09:34:00,58.0,0.0
2020-05-30 09:35:00,44.0,0.0
2020-05-30 09:36:00,51.0,0.0
2020-05-30 09:37:00,54.0,0.0
2020-05-30 09:38:00,66.0,0.0
2020-05-30 09:39:00,71.0,0.0
2020-05-30 09:40:00,73.0,0.0
2020-05-30 09:41:00,68.0,0.0
2020-05-30 09:42:00,78.0,0.0
2020-05-30 09:43:00,76.0,0.0
2020-05-30 09:44:00,74.0,0.0
2020-05-30 09:45:00,76.0,0.0
2020-05-30 09:46:00,76.0,0.0
2020-05-30 09:47:00,73.0,0.0
2020-05-30 09:48:00,73.0,0.0
2020-05-30 09:49:00,72.0,0.0
2020-05-30 09:50:00,70.0,0.0
2020-05-30 09:51:00,72.0,0.0
2020-05-30 09:52:00,72.0,0.0
2020-05-30 09:53:00,74.0,0.0
2020-05-30 09:54:00,74.0,0.0
2020-05-30 09:55:00,74.0,0.0
2020-05-30 09:56:00,72.0,0.0
2020-05-30 09:57:00,71.0,0.0
2020-05-30 09:58:00,71.0,0.0
2020-05-30 09:59:00,71.0,0.0
2020-05-30 10:00:00,70.0,0.0
2020-05-30 10:01:00,71.0,0.0
2020-05-30 10:02:00,75.0,0.0
2020-05-30 10:03:00,64.0,0.0
2020-05-30 10:04:00,52.0,0.0
2020-05-30 10:05:00,49.0,0.0
2020-05-30 10:06:00,52.0,0.0
2020-05-30 10:07:00,62.0,0.0
2020-05-30 10:08:00,59.0,0.0
2020-05-30 10:09:00,64.0,0.0
2020-05-30 10:10:00,62.0,0.0
2020-05-30 10:11:00,59.0,0.0
2020-05-30 10:12:00,59.0,0.0
2020-05-30 10:13:00,64.0,0.0
2020-05-30 10:14:00,64.0,0.0
2020-05-30 10:15:00,68.0,0.0
2020-05-30 10:16:00,67.0,0.0
2020-05-30 10:17:00,66.0,0.0
2020-05-30 10:18:00,62.0,0.0
2020-05-30 10:19:00,55.0,0.0
2020-05-30 10:20:00,63.0,0.0
2020-05-30 10:21:00,68.0,0.0
2020-05-30 10:22:00,67.0,0.0
2020-05-30 10:23:00,67.0,0.0
2020-05-30 10:24:00,67.0,0.0
2020-05-30 10:25:00,65.0,0.0
2020-05-30 10:26:00,66.0,0.0
2020-05-30 10:27:00,69.0,0.0
2020-05-30 10:28:00,61.0,0.0
2020-05-30 10:29:00,63.0,0.0
2020-05-30 10:30:00,72.0,0.0
2020-05-30 10:31:00,75.0,0.0
2020-05-30 10:32:00,72.0,0.0
2020-05-30 10:33:00,70.0,0.0
2020-05-30 10:34:00,69.0,0.0
2020-05-30 10:35:00,67.0,0.0
2020-05-30 10:36:00,66.0,0.0
2020-05-30 10:37:00,63.0,0.0
2020-05-30 10:38:00,58.0,0.0
2020-05-30 10:39:00,53.0,0.0
2020-05-30 10:40:00,52.0,0.0
2020-05-30 10:41:00,59.0,0.0
2020-05-30 10:42:00,69.0,0.0
2020-05-30 10:43:00,69.0,0.0
2020-05-30 10:44:00,69.0,0.0
2020-05-30 10:45:00,64.0,0.0
2020-05-30 10:46:00,63.0,0.0
2020-05-30 10:47:00,57.0,0.0
2020-05-30 10:48:00,53.0,0.0
2020-05-30 10:49:00,52.0,0.0
2020-05-30 10:50:00,52.0,0.0
2020-05-30 10:51:00,54.0,0.0
2020-05-30 10:52:00,58.0,0.0
2020-05-30 10:53:00,56.0,0.0
2020-05-30 10:54:00,56.0,0.0
2020-05-30 10:55:00,64.0,0.0
2020-05-30 10:56:00,64.0,0.0
2020-05-30 10:57:00,67.0,0.0
2020-05-30 10:58:00,65.0,0.0
2020-05-30 10:59:00,59.0,0.0
2020-05-30 11:00:00,54.0,0.0
2020-05-30 11:01:00,56.0,0.0
2020-05-30 11:02:00,54.0,0.0
2020-05-30 11:03:00,59.0,0.0
2020-05-30 11:04:00,56.0,0.0
2020-05-30 11:05:00,57.0,0.0
2020-05-30 11:06:00,55.0,0.0
2020-05-30 11:07:00,59.0,0.0
2020-05-30 11:08:00,63.0,0.0
2020-05-30 11:09:00,57.0,0.0
2020-05-30 11:10:00,55.0,0.0
2020-05-30 11:11:00,57.0,0.0
2020-05-30 11:12:00,57.0,0.0
2020-05-30 11:13:00,73.0,0.0
2020-05-30 11:14:00,70.0,0.0
2020-05-30 11:15:00,74.0,0.0
2020-05-30 11:16:00,74.0,0.0
2020-05-30 11:17:00,75.0,0.0
2020-05-30 11:18:00,72.0,0.0
2020-05-30 11:19:00,57.0,0.0
2020-05-30 11:20:00,53.0,0.0
2020-05-30 11:21:00,55.0,0.0
2020-05-30 11:22:00,55.0,0.0
2020-05-30 11:23:00,60.0,0.0
2020-05-30 11:24:00,74.0,0.0
2020-05-30 11:25:00,71.0,0.0
2020-05-30 11:26:00,67.0,0.0
2020-05-30 11:27:00,63.0,0.0
2020-05-30 11:28:00,65.0,0.0
2020-05-30 11:29:00,56.0,0.0
2020-05-30 11:30:00,51.0,0.0
2020-05-30 11:31:00,52.0,0.0
2020-05-30 11:32:00,55.0,0.0
2020-05-30 11:33:00,53.0,0.0
2020-05-30 11:34:00,55.0,0.0
2020-05-30 11:35:00,55.0,0.0
2020-05-30 11:36:00,56.0,0.0
2020-05-30 11:37:00,55.0,0.0
2020-05-30 11:38:00,56.0,0.0
2020-05-30 11:39:00,58.0,0.0
2020-05-30 11:40:00,60.0,0.0
2020-05-30 11:41:00,58.0,0.0
2020-05-30 11:42:00,58.0,0.0
2020-05-30 11:43:00,58.0,0.0
2020-05-30 11:44:00,59.0,0.0
2020-05-30 11:45:00,58.0,0.0
2020-05-30 11:46:00,62.0,0.0
2020-05-30 11:47:00,57.0,0.0
2020-05-30 11:48:00,57.0,0.0
2020-05-30 11:49:00,58.0,0.0
2020-05-30 11:50:00,58.0,0.0
2020-05-30 11:51:00,59.0,0.0
2020-05-30 11:52:00,60.0,0.0
2020-05-30 11:53:00,60.0,0.0
2020-05-30 11:54:00,60.0,0.0
2020-05-30 11:55:00,58.0,0.0
2020-05-30 11:56:00,58.0,0.0
2020-05-30 11:57:00,59.0,0.0
2020-05-30 11:58:00,59.0,0.0
2020-05-30 11:59:00,59.0,0.0
2020-05-30 12:00:00,59.0,0.0
2020-05-30 12:01:00,58.0,0.0
2020-05-30 12:02:00,60.0,0.0
2020-05-30 12:03:00,59.0,0.0
2020-05-30 12:04:00,58.0,0.0
2020-05-30 12:05:00,57.0,0.0
2020-05-30 12:06:00,61.0,0.0
2020-05-30 12:07:00,58.0,0.0
2020-05-30 12:08:00,57.0,0.0
2020-05-30 12:09:00,57.0,0.0
2020-05-30 12:10:00,57.0,0.0
2020-05-30 12:11:00,56.0,0.0
2020-05-30 12:12:00,56.0,0.0
2020-05-30 12:13:00,56.0,0.0
2020-05-30 12:14:00,56.0,0.0
2020-05-30 12:15:00,56.0,0.0
2020-05-30 12:16:00,56.0,0.0
2020-05-30 12:17:00,57.0,0.0
2020-05-30 12:18:00,59.0,0.0
2020-05-30 12:19:00,60.0,0.0
2020-05-30 12:20:00,60.0,0.0
2020-05-30 12:21:00,61.0,0.0
2020-05-30 12:22:00,71.0,0.0
2020-05-30 12:23:00,72.0,0.0
2020-05-30 12:24:00,61.0,0.0
2020-05-30 12:25:00,59.0,0.0
2020-05-30 12:26:00,59.0,0.0
2020-05-30 12:27:00,59.0,0.0
2020-05-30 12:28:00,58.0,0.0
2020-05-30 12:29:00,58.0,0.0
2020-05-30 12:30:00,58.0,0.0
2020-05-30 12:31:00,58.0,0.0
2020-05-30 12:32:00,58.0,0.0
2020-05-30 12:33:00,59.0,0.0
2020-05-30 12:34:00,59.0,0.0
2020-05-30 12:35:00,59.0,0.0
2020-05-30 12:36:00,60.0,0.0
2020-05-30 12:37:00,59.0,0.0
2020-05-30 12:38:00,58.0,0.0
2020-05-30 12:39:00,55.0,0.0
2020-05-30 12:40:00,55.0,0.0
2020-05-30 12:41:00,55.0,0.0
2020-05-30 12:42:00,56.0,0.0
2020-05-30 12:43:00,58.0,0.0
2020-05-30 12:44:00,68.0,0.0
2020-05-30 12:45:00,63.0,0.0
2020-05-30 12:46:00,52.0,0.0
2020-05-30 12:47:00,61.0,0.0
2020-05-30 12:48:00,67.0,0.0
2020-05-30 12:49:00,66.0,0.0
2020-05-30 12:50:00,58.0,0.0
2020-05-30 12:51:00,62.0,0.0
2020-05-30 12:52:00,64.0,0.0
2020-05-30 12:53:00,59.0,0.0
2020-05-30 12:54:00,58.0,0.0
2020-05-30 12:55:00,61.0,0.0
2020-05-30 12:56:00,60.0,0.0
2020-05-30 12:57:00,65.0,0.0
2020-05-30 12:58:00,62.0,0.0
2020-05-30 12:59:00,73.0,0.0
2020-05-30 13:00:00,70.0,0.0
2020-05-30 13:01:00,65.0,0.0
2020-05-30 13:02:00,64.0,0.0
2020-05-30 13:03:00,65.0,0.0
2020-05-30 13:04:00,63.0,0.0
2020-05-30 13:05:00,62.0,0.0
2020-05-30 13:06:00,62.0,0.0
2020-05-30 13:07:00,61.0,0.0
2020-05-30 13:08:00,61.0,0.0
2020-05-30 13:09:00,64.0,0.0
2020-05-30 13:10:00,64.0,0.0
2020-05-30 13:11:00,63.0,0.0
2020-05-30 13:12:00,62.0,0.0
2020-05-30 13:13:00,63.0,0.0
2020-05-30 13:14:00,64.0,0.0
2020-05-30 13:15:00,68.0,0.0
2020-05-30 13:16:00,69.0,0.0
2020-05-30 13:17:00,62.0,0.0
2020-05-30 13:18:00,64.0,0.0
2020-05-30 13:19:00,65.0,0.0
2020-05-30 13:20:00,64.0,0.0
2020-05-30 13:21:00,65.0,0.0
2020-05-30 13:22:00,65.0,0.0
2020-05-30 13:23:00,63.0,0.0
2020-05-30 13:24:00,63.0,0.0
2020-05-30 13:25:00,64.0,0.0
2020-05-30 13:26:00,64.0,0.0
2020-05-30 13:27:00,61.0,0.0
2020-05-30 13:28:00,58.0,0.0
2020-05-30 13:29:00,62.0,0.0
